episode,reward,vehicle_location,waypoint,duration,timesteps,collisions,lane_invasions,avg_speed,waypoint_similarity,total_distance,max_speed
0,0.6460951924862582,"Location(x=-112.858139, y=-64.201653, z=0.001120)","Location(x=-112.521973, y=-64.141144, z=0.000000)",132.01866388320923,4000,0,1,0.1543892524004296,0.23800434674043944,4.961185377851507,9.317658519744873
1,0.7598462800727099,"Location(x=-112.766739, y=-64.558319, z=0.001244)","Location(x=-112.538368, y=-64.519638, z=0.000000)",132.03839802742004,4000,0,0,0.14204681337443234,0.26076944847412764,4.548245557838527,9.30139102935791
2,0.9707911975209224,"Location(x=-111.267036, y=-53.632992, z=0.001193)","Location(x=-111.255013, y=-53.657097, z=0.000000)",132.0404543876648,4000,0,0,0.1400175932038232,0.2626303554000234,4.544908908276284,8.844665336608887
3,0.9656689144312405,"Location(x=-111.142426, y=-52.822525, z=0.001237)","Location(x=-111.147362, y=-52.854958, z=0.000000)",132.0793261528015,4000,0,0,0.16439560138055156,0.21615120819980094,5.360232243531755,8.744085502624513
4,0.9661106769549033,"Location(x=-111.149933, y=-52.971237, z=0.001230)","Location(x=-111.166458, y=-53.000015, z=0.000000)",132.03488278388977,4000,0,0,0.15853745442946163,0.22335140409914,5.20769040589721,8.980930995941163
5,0.6702050687445962,"Location(x=-112.839561, y=-64.139359, z=0.001272)","Location(x=-112.521759, y=-64.136948, z=0.000000)",132.03765869140625,4000,0,0,0.15356017556025497,0.2347824240967625,4.995335838338178,8.872385215759278
6,0.6606644740405445,"Location(x=-112.836960, y=-63.917797, z=0.001215)","Location(x=-112.510353, y=-63.928188, z=0.000000)",132.03789806365967,4000,0,0,0.15873708024888358,0.2232121204779667,5.207063267428111,8.939035320281983
7,0.9768240566709109,"Location(x=-111.242828, y=-53.595726, z=0.001274)","Location(x=-111.249626, y=-53.617744, z=0.000000)",132.0392894744873,4000,0,0,0.14244596601319398,0.2600530564944878,4.577773470482498,8.97279167175293
8,0.6136313001147384,"Location(x=-112.876854, y=-63.834919, z=0.001271)","Location(x=-112.505241, y=-63.843166, z=0.000000)",132.1103024482727,4000,0,1,0.16319104950339985,0.21901370963250869,5.289729468046971,8.988025760650634
9,0.9669871455329959,"Location(x=-111.146950, y=-52.918648, z=0.001271)","Location(x=-111.159676, y=-52.948669, z=0.000000)",132.01553392410278,4000,0,0,0.16126492164802847,0.22077456871295323,5.303013003494016,8.98249397277832
10,0.9625970813668008,"Location(x=-111.158775, y=-53.113308, z=0.001225)","Location(x=-111.184891, y=-53.138855, z=0.000000)",132.09376692771912,4000,0,0,0.15652164702828983,0.23064214363451319,5.083913790310817,9.288107872009277
